uri,schema_url,schema_email,geo_long,schema_telephone,geo_lat,om_capacidadPersonas,om_tenedores,rdfs_label,om_categoriaRestaurante,schema_address_postalCode,schema_address_addressCountry,schema_address_addressLocality,schema_address_streetAddress
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/3-aralia,http://www.aralia.es,info@aralia.es,-6.413257,9.2723065E8,39.490662,800 pax,2,Aralia,3,10005,ES,Cáceres,"Carretera N-630, Km. 550 "
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/6-atrio,http://www.restauranteatrio.com,info@restauranteatrio.com,-6.371138,+34 927242928,39.473031,60 pax,2,Atrio,1,10003,ES,Cáceres,"Plaza de San Mateo, 1"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/8-big-house,http://www.bighousecaceres.com,bighousecaceres@hotmail.es,-6.379184,+34 927236532,39.456062,80 pax,1,Big House,4,10005,ES,Cáceres,"Calle Juan Solano Pedrero, 14"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/9-big-house-ii,http://www.bighousecaceres.com,bighousecaceres@hotmail.es,-6.392487,+34 927236532,39.472693,110 pax,1,Big House II,4,10001,ES,Cáceres,"Avenida Ruta de la Plata, 46"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/10-botein,http://www.botein.es,restaurante@botein.es,-6.374554,+34 927240840,39.465674,60 pax,2,Botein,3,10002,ES,Cáceres,"Calle Madre Isabel de Larrañaga, s/n"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/15-camping-caceres,http://www.campingcaceres.com,info@campingcaceres.com,-6.412719,+34 927107911,39.488472,215 pax,1,Cámping Cáceres,4,10005,ES,Cáceres,"Carretera N-630, Km. 549,5"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/19-casa-mijhaeli,http://www.casamijhaeli.es/,reservas@casamijhaeli.es,-6.373056,+34 927243260,39.476461,36 pax,1,Casa Mijhaeli,4,10003,ES,Cáceres,"Calle Barrionuevo, 6"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/20-castillo-de-las-arguijuelas,http://www.castillodelaarguijuela.com,consuelo@torredesande.com,-6.334547,9.27129851E8,39.349593,1400 pax ,2,Castillo de las Arguijuelas,3,10003,ES,Cáceres,"Carretera de Mérida, s/n"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/21-cayena,http://www.restaurantecayena.com,info@restaurantecayena.com,-6.372177,+34 927245497,39.47483,130 pax,1,Cayena,4,10003,ES,Cáceres,"Plaza mayor, 9"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/24-cortijo-real,http://www.restaurantecortijoreal.com,info@restaurantecortijoreal.com,-6.368393,9.27215009E8,39.456394,600 pax,2,Cortijo Real,3,10005,ES,Cáceres,"Carretera de Medellín, 0 Km. 3,5"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/25-el-13-de-san-anton,http://www.restauranteel13desananton.com,info@restauranteel13desananton.com,-6.375519,+34 927215007,39.472902,39 pax,1,El 13 de San Antón,4,10003,ES,Cáceres,"San Antón, 13"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/26-el-clavero-hotel-alcantara,http://www.hotelalcantaracaceres.com,reservas@hotelalcantaracaceres.com,-6.380099,+34 927223900,39.472057,80 pax,2,El Clavero (Hotel Alcántara),3,10001,ES,Cáceres,"Avenida Virgen de Guadalupe, 14"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/27-el-corregidor,http://www.restaurantecorregidor.es,info@restaurantecorregidor.es-francisrefolio@gmail.com,-6.373208,+34 927216109,39.474427,92 pax,2,El Corregidor,3,10003,ES,Cáceres,"Calle Moret, 7 "
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/28-el-figon-de-eustaquio,http://www.elfigondeeustaquio.com,reservas@elfigondeeustaquio.com,-6.373215,+34 927244362,39.473793,150 pax,2,El Figón de Eustaquio,3,10003,ES,Cáceres,"Plaza de San Juan, 12-14"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/30-el-globo,http://www.restauranteglobo.es,restauranteglobo@restauranteglobo.es,-6.367756,+34 927213879,39.462462,100 pax,1,El Globo,4,10002,ES,Cáceres,"Avenida de la Hispanidad, 9"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/31-el-mirador-hotel-ah-agora-,http://www.hotelagoracaceres.com,recepcioncaceres@ahhotels.com,-6.374186,+34 927626360,39.474134,80 pax,3,El Mirador  (Hotel AH Ágora) ,2,10003,ES,Cáceres,"Calle Parras, 25"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/33-el-pato,http://www.restauranteelpato.com,info@restauranteelpato.com,-6.371592,+34 927248736,39.475271,100 pax,2,El Pato,4,10003,ES,Cáceres,"Plaza Mayor, 12"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/34-el-raco-de-sanguino,http://www.racodesanguino.es/,racodesanguino@hotmail.com,-6.370034,+34 927227682,39.472912,38 pax,1,El Racó de Sanguino,4,10003,ES,Cáceres,"Plaza de las Veletas, 4"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/35-el-rincon-de-julio,http://www.restauranteelrincondejulio.com,info@restauranteelrincondejulio.com,-6.377921,+34 927217319,39.466461,36 pax,2,El Rincón de Julio,3,10001,ES,Cáceres,"Calle Sánchez Manzano, 3"
http://opendata.caceres.es/recurso/turismo/establecimientos/Restaurante/37-el-ultimo-cafe,http://www.elultimocafe.es,info@ultimocafe.es,-6.366651,+34 927221085,39.453764,70 pax,1,El Último Café,4,10005,ES,Cáceres,"Carretera de Medellín, Km. 2"
