id;title;streetAddress;postalCode;addressLocality;tel;email;url;image;logo;restauranteEnHotel;socioHoreca;sinGluten;fincaCatering;servesCuisine;accesibilidad;comment;tenedores;capacidad;geometry;lastUpdated;description;link;sameAs
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//14";"RESTAURANTE EL CACHIRULO";"Ctra. de Logroño Km. 1,500";"50011";"Zaragoza";"";"congresos@elcachirulo.es";"http://www.elcachirulo.es";"/cont/paginas/turismo/oficina/rsc/img/empresa/062.-RTeCachiruloAP.jpg";"/cont/paginas/turismo/oficina/rsc/img/empresa/059-el-cachirulo.gif";"";"true";"";"";"";"<div><img src=""http://www.zaragoza.es/cont/paginas/sinbarreras/img/icono_acomp1.jpg"" alt=""Accesible con Acompañante""/>Accesible con Acompañante</div><ul><li> Acceso:  Adaptado. Rampa de acceso por un lateral del restaurante a los jardines</li><li>Ascensor en zona interior</li><li>Aseos Adaptados: No</li></ul><p><em>Información facilitada por Disminuidos Físicos de Aragón</em></p>";"Ubicado en un grandioso y elegante edificio de corte aragonés, El Cachirulo tiene varios salones con capacidad de entre 30 y 600 personas. Está rodeado de amplios jardines y ofrece platos como la ensalada de hortalizas asadas sobre salmorejo de tomare, albahaca, láminas de bacalao y aderezadas con aceite de gorbinas.";"2";"1500";"671271.45 4615302.48";2017-04-18T22:00:00Z;"Ctra. de Logroño Km. 1,500 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976796323";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/14"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//16";"HOTEL PALAFOX";"C/ Marqués de Casa Jiménez s/n";"50004";"Zaragoza";"";"hotelpalafox@palafoxhoteles.com";"http://www.palafoxhoteles.com";"/cont/paginas/turismo/oficina/rsc/img/empresa/022.%20I_PalafoxCervantes.jpg";"/cont/paginas/turismo/oficina/rsc/img/empresa/022.%20L_Palafox.jpg";"true";"";"";"";"";"";"Restaurante Aragonia Paradis";"";"";"676187.38 4613359.0";2018-01-09T23:00:00Z;"C/ Marqués de Casa Jiménez s/n <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 23 77 00";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/16"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//17";"HOTEL NH GRAN HOTEL";"C/ Joaquín Costa, 5";"50001";"Zaragoza";"";"nhgranhotel@nh-hotels.com";"http://www.nh-hotels.com";"/cont/paginas/turismo/oficina/rsc/img/empresa/granhotel3.jpg";"/cont/paginas/turismo/oficina/rsc/img/empresa/030-nh-gran-hotel.gif";"true";"true";"";"";"";"";"Con decoración clásica y un ambiente cogedor, el restaurante. La Ontina está ubicado en el clásico Gran Hotel de Zaragoza, en pleno centro. En un ambiente selecto se puede degustar un manú gastronómico por 35 euros o probar cualquiera de las especialidades de su carta, como la borraja salteada con papada glaseada y huevas de arenque o el tataki de atún marinado con asadillo de pimientos de cristal.";"";"";"676522.76 4613183.22";2017-03-12T23:00:00Z;"C/ Joaquín Costa, 5 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 22 19 01";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/17"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//47";"HOTEL ZENIT DON YO";"C/ Bruil, 4-6";"50001";"Zaragoza";"";"reservasdonyo@zenithoteles.com";"http://donyo.zenithoteles.com/index.php/es";"/cont/paginas/turismo/oficina/rsc/img/empresa/donyo3.jpg";"/cont/paginas/turismo/oficina/rsc/img/empresa/039-hotel-zenit.gif";"true";"";"";"";"";"";"Restaurante Centenario.  Restaurante del Hotel Zenit Don Yo. Cerrado domingos tarde.";"";"";"676343.68 4613128.68";2017-03-12T23:00:00Z;"C/ Bruil, 4-6 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 22 67 41";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/47"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//49";"HOTEL EUROSTARS BOSTON";"Cmno. de las Torres, 28";"50008";"Zaragoza";"";"comercial@hotelboston.es";"http://www.hotelboston.es";"/cont/paginas/turismo/oficina/rsc/img/empresa/boston.jpg";"/cont/paginas/turismo/oficina/rsc/img/empresa/021.%20L_Boston.png";"true";"";"";"";"";"";"Restaurante ""Amaranto"". Ofrece almuerzos y cenas, excepto domingos por la noche.

email: cbanquetes@hotelboston.es
web: www.restauranteamaranto.com";"";"";"676927.21 4612798.85";2017-03-13T23:00:00Z;"Cmno. de las Torres, 28 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 59 91 92";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/49"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//61";"GUETARIA";"C/ Madre Vedruna, 10";"50008";"Zaragoza";"";"";"";"";"";"";"";"";"";"";"";"N:56";"2";"56";"676456.11 4612895.14";2017-03-14T23:00:00Z;"C/ Madre Vedruna, 10 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 21 53 16";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/61"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//72";"HOTEL EL PRÍNCIPE";"C/ Santiago, 12";"50003";"Zaragoza";"";"reservas@hotel-elprincipe.com";"http://www.hotelelprincipezaragoza.es";"";"";"true";"";"";"";"";"Escalón a la entrada.";"";"";"";"676719.04 4613905.13";2017-03-13T23:00:00Z;"C/ Santiago, 12 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 29 41 01";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/72"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//75";"HOTEL SILKEN REINO DE ARAGÓN";"C/ Coso, 80";"50001";"Zaragoza";"";"ventas.zaragoza@hoteles-silken.com";"http://www.hotelreinodearagon.com";"/cont/paginas/turismo/oficina/rsc/img/empresa/silkenreino2.jpg";"/cont/paginas/turismo/oficina/rsc/img/empresa/035-hoteles-silken.gif";"true";"";"";"";"";"";"Restaurante ""Los Fueros""";"";"";"676742.69 4613448.0";2017-04-11T22:00:00Z;"C/ Coso, 80 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 46 82 00";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/75"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//78";"HOTEL DON JAIME 54";"C/ Don Jaime I, 54-56";"50001";"Zaragoza";"";"info@hoteldonjaime54.es";"http://http://www.hoteldonjaime54.es";"";"";"true";"";"";"";"";"";"Restaurante Bi Burga.";"";"";"676899.05 4613866.15";2017-03-12T23:00:00Z;"C/ Don Jaime I, 54-56 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 29 43 22";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/78"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//109";"HOTEL NH SPORT";"C/ Moncayo, 5";"50010";"Zaragoza";"";"nhsport@nh-hotels.com";"http://www.nh-hotels.com";"";"";"true";"";"";"";"";"<div><img src=""/cont/paginas/sinbarreras/img/icono_silla1.jpg"" alt=""Accesible""/> Accesible </div>
<ul>
    <li><strong>Aparcamiento</strong>: Dos plazas reservadas (sin señalizar)   </li>
    <li><strong>Entrada</strong>: Adaptada a cota cero, puertas automáticas.    </li>
    <li><strong>Movilidad en el interior del edificio:</strong>
    <ul>
        <li><strong>Zonas comunes:</strong>
        <ul>
            <li> Recepción con mostrador no adaptado en altura. Servicio personalizado.</li>
            <li>Espacios Amplios:  Sí. Pavimento de moqueta.</li>
            <li>Ascensor Adaptado:  Sí. Con espejo, barra de apoyo, botonera en braille. Dispositivo sonoro.</li>
            <li>Aseos Adaptados: Sí.</li>
            <li>Zonas comunes: Zona de desayunos, salón de encuentros y reuniones.</li>
        </ul>
        </li>
        <li><strong>Habitaciones:</strong>
        <ul>
            <li> Habitaciones Adaptadas: Dispone de 2.</li>
            <li>Puertas: Adaptadas en anchura. con espacios amplios                            </li>
            <li>Espacios Amplios. Sí, no hay dificultad de giro </li>
            <li>Aseos Adaptados: Sí. Ducha a cota cero, asiento abatible y barras de apoyo. Inodoro con espacio para la transferencia lateral y barras de apoyo, fija y móvil. Lavabo sin pedestal y espejo inclinado.</li>
        </ul>
        </li>
    </ul>
    </li>
</ul>
<p><em>Información facilitada por Disminuidos Físicos de Aragón</em></p>";"Restaurante Hotel NH Sport. Lunes a Viernes";"";"";"675376.63 4613229.5";2017-03-13T23:00:00Z;"C/ Moncayo, 5 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 31 11 14";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/109"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//130";"PARQUE DE ATRACCIONES DE ZARAGOZA";"Pº Duque de Alba,  s/n";"50007";"Zaragoza";"";"info@atraczara.com";"http://www.atraczara.com";"/cont/paginas/turismo/oficina/rsc/img/empresa/125.-Parque-AtraAP.jpg";"/cont/paginas/turismo/oficina/rsc/img/empresa/119-parque-atracciones.gif";"";"";"";"";"";"";"Bocadillos, menús sin gluten y helados";"";"";"675289.06 4609886.0";2017-10-18T22:00:00Z;"Pº Duque de Alba,  s/n <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 902 37 80 00";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/130"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//134";"GARDEN NEW FUSSION";"C/ San Juan Bosco, 3";"50009";"Zaragoza";"";"restaurante@restaurantegarden.com";"http://www.restaurantegarden.com";"/cont/paginas/turismo/oficina/rsc/img/empresa/garden2.jpg";"/cont/paginas/turismo/oficina/rsc/img/empresa/72-garden.gif";"";"true";"";"";"";"";"Restaurante especializado en banquetes que ahora ofrece también menús del día a precios asequibles. Elabora ensaldas y pescados de gran calidad. Con capacidad de 450 personas, Garden consta de dos plantas y ofrece la posibilidad de dividirse en salones para menos capacidad.";"2";"720";"674990.66 4612671.41";2017-03-14T23:00:00Z;"C/ San Juan Bosco, 3 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 55 16 25";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/134"
"https://www.zaragoza.es/sede/recurso/turismo/restaurante//145";"RESTAURANTE PARRILLA DE ALBARRACÍN";"Pza. del Carmen, 1-2-3";"50004";"Zaragoza";"";"info@parrillaalbarracin.com";"http://www.parrillaalbarracin.com";"/cont/paginas/turismo/oficina/rsc/img/empresa/parrilla2.jpg";"/cont/paginas/turismo/oficina/rsc/img/empresa/87-parrilla-albarracin.gif";"";"true";"";"";"";"";"Bombones de patata de cordero deshuesada con setas, migas siglo XXI, jarrete de ternasco sobre puré de berza en guiso de vino tinto y rebozuelos y un ""postre de leche"" son algunas de las especialidades de este establecimiento situado en pleno centro, muy cerca de un aparcamiento público. Su cocins se basa en la actualización del recetario aragonés y posee una amplia bodega.";"2";"66";"676226.31 4613390.45";2017-04-11T22:00:00Z;"Pza. del Carmen, 1-2-3 <strong><abbr title=""Tel�fono"">Tel.:</abbr></strong> 976 15 81 00";"";"http://www.zaragoza.es/api/recurso/turismo/restaurante/145"
